Cluster Number, Weight Method, Reference Weight (factor 2), File Weight, Function Weight, Distance Function, Times Repeated, Precision, Best Precision, Recall, Best Recall, Fmeasure, Best Fmeasure, AdjustedPrecision, Best AdjustedPrecision, AverageClusterPrecision, Best AverageClusterPrecision, AverageClusterRecall, Best AverageClusterRecall, AverageClusterAdjustedPrecision, Best AverageClusterAdjustedPrecision, MojoFM, Best MojoFM, SilhuetteIndex, Best SilhuetteIndex, NonExtremityClusterDistributionL5U100, Best NonExtremityClusterDistributionL5U100, IntraSimilarityReg1.0, Best IntraSimilarityReg1.0, IntraSimilarityReg2.0, Best IntraSimilarityReg2.0, IntraSimilarityReg3.0, Best IntraSimilarityReg3.0, IntraSimilarityReg4.0, Best IntraSimilarityReg4.0, IntraSimilarityReg5.0, Best IntraSimilarityReg5.0, IntraInterDistanceIntra1.0Inter1.0, Best IntraInterDistanceIntra1.0Inter1.0, AverageClusterIntraInterDistanceIntra1.0Inter1.0, Best AverageClusterIntraInterDistanceIntra1.0Inter1.0, Time Taken(ms), 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.5, 1, 0, CosineDistance, 10, 0.44590473, 0.5414365 (10), 0.3774032, 0.50493157 (10), 0.4030378, 0.52254725 (10), 0.671806, 0.7847133 (10), 0.42721376, 0.47694197 (10), 0.4219789, 0.5038592 (10), 0.6537932, 0.72790045 (10), 53.2353, 55.61497 (10), -0.01794054, -0.011584836 (10), 0.88883245, 0.94162434 (10), 0.530009, 0.5735985 (10), 0.3137348, 0.35208613 (10), 0.19049548, 0.22535579 (10), 0.11895472, 0.1514912 (10), 0.0765868, 0.107593946 (10), -0.15378934, -0.077839695 (10), -0.27885327, -0.23619123 (10), 11339, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.5, 1, 1, CosineDistance, 10, 0.44486132, 0.5561281 (10), 0.33468276, 0.44486973 (10), 0.38041392, 0.49431586 (10), 0.6745218, 0.7555625 (10), 0.44063693, 0.48299536 (10), 0.38835034, 0.47191855 (10), 0.66052413, 0.71151704 (10), 53.636364, 56.95187 (10), -0.01630815, -0.008354675 (10), 0.9081219, 0.94162434 (10), 0.5479442, 0.5631703 (10), 0.3240144, 0.33683312 (10), 0.19584289, 0.20985371 (10), 0.12124928, 0.13520452 (10), 0.07703823, 0.0903448 (10), -0.1520203, -0.117044516 (10), -0.26478395, -0.2336349 (10), 11276, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.5, 1, 2, CosineDistance, 10, 0.40459937, 0.48741865 (10), 0.2985868, 0.35889888 (10), 0.34186882, 0.39516982 (10), 0.6491892, 0.7366262 (10), 0.43136472, 0.51762044 (10), 0.40859145, 0.45461744 (10), 0.64761025, 0.7159767 (10), 52.085564, 55.88235 (10), -0.01830522, -0.013021214 (10), 0.9167512, 0.9441624 (10), 0.54614604, 0.58443874 (10), 0.32186025, 0.3625469 (10), 0.19390723, 0.23162077 (10), 0.11970613, 0.15267742 (10), 0.07589163, 0.10391226 (10), -0.14091781, -0.11254766 (10), -0.26005274, -0.21078497 (10), 10937, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.5, 2, 0, CosineDistance, 10, 0.4447946, 0.5419949 (10), 0.3923745, 0.536729 (10), 0.41100582, 0.5393491 (10), 0.6854873, 0.76124334 (10), 0.43121114, 0.50460076 (10), 0.4424902, 0.5132544 (10), 0.6484681, 0.6879175 (10), 53.449207, 56.95187 (10), -0.019116893, -0.0080678705 (10), 0.8824873, 0.9467005 (10), 0.5246918, 0.57035065 (10), 0.3087505, 0.3432813 (10), 0.18570861, 0.21125604 (10), 0.11438789, 0.13305242 (10), 0.07226535, 0.085803136 (10), -0.14677143, -0.049974747 (10), -0.2848571, -0.23293972 (10), 11276, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.5, 2, 1, CosineDistance, 10, 0.422046, 0.5536621 (10), 0.38005298, 0.49742383 (10), 0.39392945, 0.52403843 (10), 0.66318715, 0.74610037 (10), 0.42261896, 0.5180695 (10), 0.4385318, 0.54939663 (10), 0.6398505, 0.6877286 (10), 53.048126, 56.684494 (10), -0.02016701, -0.012058689 (10), 0.87385786, 0.9492386 (10), 0.5316774, 0.57268596 (10), 0.3207624, 0.34977612 (10), 0.1989729, 0.22654754 (10), 0.12732711, 0.15616354 (10), 0.08431515, 0.11369662 (10), -0.13780303, -0.052996967 (10), -0.3031595, -0.23258045 (10), 11686, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.5, 2, 2, CosineDistance, 10, 0.40297085, 0.57436895 (10), 0.31928456, 0.43544826 (10), 0.35110274, 0.49535295 (10), 0.62984353, 0.747419 (10), 0.41251248, 0.49467123 (10), 0.3980288, 0.4754184 (10), 0.6424918, 0.71639365 (10), 51.443855, 54.010696 (10), -0.021431418, -0.015034001 (10), 0.85710657, 0.9593909 (10), 0.5461283, 0.5950813 (10), 0.3281818, 0.39255527 (10), 0.20299852, 0.26985765 (10), 0.12969753, 0.1940731 (10), 0.085859254, 0.14629471 (10), -0.13679, -0.079991534 (10), -0.28006116, -0.23795033 (10), 11012, 
31, TermFrequencyWeight, 0.0, 0, 0, CosineDistance, 10, 0.46184164, 0.51183367 (10), 0.3052554, 0.34064478 (10), 0.3671142, 0.40905073 (10), 0.6794907, 0.7248561 (10), 0.4161474, 0.50204027 (10), 0.32062167, 0.35938853 (10), 0.6325972, 0.7107915 (10), 53.074867, 56.417114 (10), -0.015967475, -0.0076063867 (10), 0.9233502, 0.96192896 (10), 0.5846377, 0.61649716 (10), 0.36449715, 0.3988402 (10), 0.22998893, 0.26233837 (10), 0.14696464, 0.17559873 (10), 0.0951637, 0.11968344 (10), -0.2624923, -0.25064984 (10), -0.2683932, -0.23592822 (10), 11005, 
31, TermFrequencyWeight, 0.0, 0, 1, CosineDistance, 10, 0.44418392, 0.52538735 (10), 0.26525837, 0.32680702 (10), 0.33125255, 0.40116492 (10), 0.6732358, 0.7157231 (10), 0.40702057, 0.44746208 (10), 0.2781344, 0.31177595 (10), 0.6357551, 0.69085264 (10), 52.754005, 57.219254 (10), -0.018046102, -0.011267822 (10), 0.9256345, 0.9467005 (10), 0.58778447, 0.6151406 (10), 0.36299825, 0.38272548 (10), 0.22652085, 0.24558075 (10), 0.14289594, 0.15965205 (10), 0.09116317, 0.10511202 (10), -0.25196603, -0.23219888 (10), -0.26953408, -0.23986058 (10), 10862, 
31, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 10, 0.42413348, 0.4763386 (10), 0.24233767, 0.31561902 (10), 0.30759078, 0.37967065 (10), 0.6368968, 0.7075614 (10), 0.37701708, 0.4525654 (10), 0.2531632, 0.309836 (10), 0.58847517, 0.654377 (10), 51.122993, 53.47594 (10), -0.0159909, -0.008637377 (10), 0.9393401, 0.96954316 (10), 0.57333577, 0.61477846 (10), 0.35010308, 0.38207915 (10), 0.21593973, 0.24008292 (10), 0.13452621, 0.15252604 (10), 0.08464486, 0.09795959 (10), -0.24345608, -0.21400301 (10), -0.27473816, -0.25920275 (10), 11140, 
31, TermFrequencyWeight, 0.0, 1, 0, CosineDistance, 10, 0.51318, 0.5518591 (10), 0.3356249, 0.3820109 (10), 0.40525943, 0.44072694 (10), 0.6910097, 0.72199184 (10), 0.39535314, 0.45199144 (10), 0.31999603, 0.3768936 (10), 0.6299242, 0.6833504 (10), 53.983948, 56.149734 (10), -0.016155444, -0.010434342 (10), 0.9319798, 0.9593909 (10), 0.587565, 0.6176067 (10), 0.36147052, 0.38507578 (10), 0.2246433, 0.2424477 (10), 0.1410698, 0.1541788 (10), 0.089534566, 0.09904619 (10), -0.2678465, -0.24965286 (10), -0.2514505, -0.22687447 (10), 11169, 
