Cluster Number, Weight Method, Reference Weight (factor 2), File Weight, Function Weight, Distance Function, Closest Centroids Init, Precision, Recall, Fmeasure, AdjustedPrecision, AverageClusterPrecision, AverageClusterRecall, AverageClusterAdjustedPrecision, MojoFM, SilhuetteIndex, NonExtremityClusterDistributionL5U100, IntraSimilarityReg1.0, IntraSimilarityReg2.0, IntraSimilarityReg3.0, IntraSimilarityReg4.0, IntraSimilarityReg5.0, IntraInterDistanceIntra1.0Inter1.0, AverageClusterIntraInterDistanceIntra1.0Inter1.0, Time Taken(ms), 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 1, CosineDistance, 3, 0.54265404, 0.5288684, 0.5356725, 0.64889413, 0.55873674, 0.73243505, 0.6528505, 64.70589, -0.002733989, 0.8958333, 0.4766636, 0.2784674, 0.17346986, 0.11662896, 0.08495494, -0.29728976, -0.42977533, 18, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 2, CosineDistance, 1, 0.47682118, 0.49884528, 0.48758465, 0.56475353, 0.53459954, 0.5632621, 0.6157163, 61.176468, -0.005713131, 0.8333333, 0.4450674, 0.23351003, 0.123763315, 0.06624178, 0.035787232, -0.29060474, -0.3846234, 23, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 2, CosineDistance, 2, 0.53255814, 0.5288684, 0.5307069, 0.6437984, 0.5575964, 0.73243505, 0.6550643, 63.529408, -0.010135541, 0.8541667, 0.4697896, 0.27202204, 0.16947821, 0.11520601, 0.085652605, -0.28720778, -0.41619337, 27, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 2, CosineDistance, 3, 0.53456223, 0.53579676, 0.5351788, 0.64631325, 0.5640899, 0.7336882, 0.6641552, 63.529408, -0.004924907, 0.8541667, 0.47259703, 0.2753435, 0.17240927, 0.117495134, 0.0873229, -0.28582457, -0.4210456, 27, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 2, 0, CosineDistance, 1, 0.4676409, 0.517321, 0.49122807, 0.57428664, 0.4526232, 0.5251655, 0.5625685, 60.000004, -0.009041916, 0.7916667, 0.43739113, 0.22521922, 0.116976425, 0.061260395, 0.03233516, -0.26835102, -0.36855805, 18, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 2, 0, CosineDistance, 2, 0.4676409, 0.517321, 0.49122807, 0.57428664, 0.45262316, 0.5251655, 0.5625685, 60.000004, -0.0043046125, 0.7916667, 0.43739113, 0.22521922, 0.116976425, 0.0612604, 0.03233516, -0.26835102, -0.36855805, 18, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 2, 0, CosineDistance, 3, 0.4561028, 0.49191687, 0.47333336, 0.5533547, 0.5688074, 0.7187745, 0.6816593, 60.000004, -0.0053263544, 0.84375, 0.465745, 0.26360887, 0.15767726, 0.10096951, 0.06966086, -0.276555, -0.41473573, 28, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 2, 1, CosineDistance, 1, 0.46605504, 0.5866051, 0.51942736, 0.5428134, 0.5167025, 0.6041977, 0.5900048, 61.176468, -2.0296732E-4, 0.7604167, 0.4433044, 0.23199593, 0.12285833, 0.06582587, 0.03566878, -0.25529575, -0.38212237, 18, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 2, 1, CosineDistance, 2, 0.5, 0.5127021, 0.5062714, 0.5867117, 0.5536789, 0.63677925, 0.63396984, 61.176468, -0.008342874, 0.8229167, 0.4457787, 0.23472361, 0.12509447, 0.06744446, 0.036761343, -0.28419924, -0.38500634, 20, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 2, 1, CosineDistance, 3, 0.5435294, 0.5334873, 0.53846157, 0.6505882, 0.562705, 0.73327047, 0.66025794, 64.70589, -0.006785533, 0.8958333, 0.4758853, 0.27760813, 0.17254972, 0.11554917, 0.083647445, -0.2894899, -0.42929426, 22, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 2, 2, CosineDistance, 1, 0.47682118, 0.49884528, 0.48758465, 0.56475353, 0.5345996, 0.5632621, 0.61571634, 61.176468, -8.2160154E-4, 0.8333333, 0.44301552, 0.23135146, 0.122054294, 0.06503498, 0.03498574, -0.28465024, -0.38160792, 23, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 2, 2, CosineDistance, 2, 0.53456223, 0.53579676, 0.5351788, 0.64631325, 0.5640899, 0.7336882, 0.6641552, 63.529408, -0.010159952, 0.8541667, 0.47029725, 0.2727411, 0.17004023, 0.1154022, 0.0854182, -0.2805041, -0.41772687, 29, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 2, 2, CosineDistance, 3, 0.53456223, 0.53579676, 0.5351788, 0.64631325, 0.5640899, 0.7336882, 0.6641552, 63.529408, -0.010159952, 0.8541667, 0.47029725, 0.2727411, 0.17004023, 0.1154022, 0.0854182, -0.2805041, -0.41772687, 36, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 0, 0, CosineDistance, 1, 0.55971897, 0.55196303, 0.55581397, 0.6389539, 0.5154536, 0.65663195, 0.60928637, 65.88235, -0.0030423224, 0.8333333, 0.4645633, 0.25377682, 0.13969788, 0.07747055, 0.043265276, -0.2970612, -0.3920603, 27, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 0, 0, CosineDistance, 2, 0.4321503, 0.47806004, 0.45394737, 0.5066111, 0.43517318, 0.6576762, 0.53289527, 55.29412, -2.8584208E-4, 0.84375, 0.46839172, 0.2596166, 0.1459966, 0.08330894, 0.048234753, -0.31748295, -0.4028385, 32, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 0, 0, CosineDistance, 3, 0.4231537, 0.4896074, 0.45396146, 0.55056536, 0.47198492, 0.6950912, 0.5530443, 54.117645, -0.009010725, 0.7708333, 0.4908146, 0.29357868, 0.18509546, 0.12384557, 0.08813093, -0.27534723, -0.43153498, 18, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 0, 1, CosineDistance, 1, 0.35075885, 0.4803695, 0.40545806, 0.4707699, 0.48173872, 0.6882517, 0.5535823, 50.588238, -0.009321314, 0.78125, 0.40837696, 0.2146864, 0.114196494, 0.061473675, 0.033490054, -0.26366594, -0.41168743, 22, 
