Cluster Number, Weight Method, Reference Weight (factor 2), File Weight, Function Weight, Distance Function, Closest Centroids Init, SVD factors, lsi method, Precision, Recall, Fmeasure, AdjustedPrecision, AverageClusterPrecision, AverageClusterRecall, AverageClusterAdjustedPrecision, MojoFM, SilhuetteIndex, NonExtremityClusterDistributionL5U100, IntraSimilarityReg1.0, IntraSimilarityReg2.0, IntraSimilarityReg3.0, IntraSimilarityReg4.0, IntraSimilarityReg5.0, IntraInterDistanceIntra1.0Inter1.0, AverageClusterIntraInterDistanceIntra1.0Inter1.0, Time Taken(ms), 
31, LogWeight InverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 1, 394, kaiser concept, 0.6281256, 0.46224055, 0.53256446, 0.8154545, 0.40115526, 0.5195688, 0.63686436, 60.160427, -0.0060848217, 0.9441624, 0.4102508, 0.18704203, 0.08561802, 0.039357997, 0.018174114, -0.22309439, -0.23272115, 77, 
31, LogWeight NoGlobalWeight, 0.0, 5, 3, CosineDistance, 1, 18, n*m^0.2 concept, 0.447804, 0.29868984, 0.35835397, 0.72095037, 0.44213045, 0.32335874, 0.6271626, 56.417114, -0.012791748, 0.88832486, 0.78358376, 0.7059935, 0.63701975, 0.57563424, 0.52093875, -0.29287514, -0.31304732, 18, 
31, LogWeight NoGlobalWeight, 0.0, 10, 0, CosineDistance, 1, 102, 95% concept, 0.4387225, 0.42264095, 0.43053162, 0.74633324, 0.55187523, 0.39361516, 0.6895204, 55.3476, -0.0040480103, 0.9187817, 0.6432014, 0.49824423, 0.3901204, 0.3089748, 0.24769531, -0.26815116, -0.34839958, 26, 
31, TermFrequencyWeight InverseDocumentFrequencyWeight, 0.0, 5, 0, CosineDistance, 1, 5106, initial table, 0.5710778, 0.3424113, 0.42812446, 0.7851992, 0.39343154, 0.43179238, 0.62095225, 54.54545, -0.006823893, 0.88578683, 0.481323, 0.24019288, 0.12590468, 0.07025879, 0.042131834, -0.21653162, -0.22378626, 1208, 
31, LogWeight NoGlobalWeight, 0.5, 10, 3, ModifiedCosineDistance, 1, 5106, n*m^0.2 concept, 0.43762878, 0.40644783, 0.42146236, 0.67581695, 0.3255723, 0.31134087, 0.5824799, 51.336895, -0.005645666, 0.9010152, 0.80077803, 0.7951588, 0.78959364, 0.7840817, 0.7786223, -0.03491955, -0.06451368, 34602, 
31, NoLocalWeight InverseDocumentFrequencyWeight, 0.0, 5, 0, CosineDistance, 1, 5106, initial table, 0.6593162, 0.47975856, 0.5553851, 0.81194925, 0.47130755, 0.41883206, 0.6970372, 57.75401, -0.0066388356, 0.9441624, 0.49002334, 0.2472149, 0.12960461, 0.07132836, 0.04156787, -0.2199493, -0.24553597, 966, 
