Cluster Number, Weight Method, Reference Weight (factor 2), File Weight, Function Weight, Distance Function, Topics Number, Closest Centroids Init, Precision, Recall, Fmeasure, AdjustedPrecision, AverageClusterPrecision, AverageClusterRecall, AverageClusterAdjustedPrecision, MojoFM, SilhuetteIndex, NonExtremityClusterDistributionL5U100, IntraSimilarityReg1.0, IntraSimilarityReg2.0, IntraSimilarityReg3.0, IntraSimilarityReg4.0, IntraSimilarityReg5.0, IntraInterDistanceIntra1.0Inter1.0, AverageClusterIntraInterDistanceIntra1.0Inter1.0, Time Taken(ms), 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 40, 1, 0.49810565, 0.32901517, 0.39627662, 0.7334553, 0.5230773, 0.4845958, 0.7272094, 61.49733, -0.015237445, 0.93401015, 0.49632224, 0.27432877, 0.1584302, 0.09566663, 0.060285978, -0.20480885, -0.3574083, 1232, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 40, 2, 0.4455155, 0.31296924, 0.3676611, 0.72668475, 0.467549, 0.5056742, 0.7148694, 55.61497, -0.018709268, 0.92385787, 0.49866712, 0.2682882, 0.15225057, 0.091998026, 0.05954214, -0.18605965, -0.3077699, 1083, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 45, 1, 0.6127434, 0.5096423, 0.5564574, 0.8004708, 0.41548756, 0.4910097, 0.63785595, 59.358288, -0.0046650153, 0.9035533, 0.45521718, 0.24721433, 0.14015765, 0.08317882, 0.051665355, -0.21311888, -0.39047673, 1382, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 45, 2, 0.4850762, 0.3421169, 0.4012431, 0.70672685, 0.41149154, 0.45301312, 0.70962954, 55.88235, -0.012365442, 0.88832486, 0.50158894, 0.26845846, 0.14867833, 0.0853177, 0.05074619, -0.19955479, -0.3170471, 1549, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 50, 1, 0.5926544, 0.5225968, 0.55542517, 0.7765118, 0.44062054, 0.56226856, 0.66486526, 56.684494, -0.0053313207, 0.893401, 0.44760555, 0.24114525, 0.13706733, 0.08237685, 0.05219694, -0.20506844, -0.37378615, 1355, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 50, 2, 0.4850512, 0.34152806, 0.4008293, 0.71689785, 0.41777188, 0.48426446, 0.7053575, 57.219254, -0.01339685, 0.88324875, 0.49748737, 0.27454618, 0.15760317, 0.094189964, 0.05855178, -0.19603184, -0.36122245, 1716, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 55, 1, 0.6323181, 0.5103783, 0.5648419, 0.8037367, 0.39307153, 0.47941452, 0.6132926, 58.823524, -0.008453959, 0.92385787, 0.43820992, 0.23939274, 0.13746864, 0.08312692, 0.052806016, -0.21544892, -0.40965503, 1918, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 55, 2, 0.5367344, 0.5172972, 0.52683663, 0.6985035, 0.343044, 0.48171163, 0.61765295, 55.61497, -0.009630232, 0.89847714, 0.460902, 0.2528817, 0.14440215, 0.08601191, 0.053444482, -0.17835659, -0.40015107, 1686, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 60, 1, 0.5397876, 0.51626676, 0.5277653, 0.7484105, 0.3762356, 0.49709755, 0.58226174, 55.3476, -0.009837575, 0.9137056, 0.43289998, 0.24257125, 0.14226516, 0.087318756, 0.055919614, -0.18788029, -0.454245, 1603, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 60, 2, 0.5166593, 0.5181805, 0.51741874, 0.71650594, 0.37423125, 0.4958368, 0.5906579, 58.02139, -0.012934869, 0.9137056, 0.45229813, 0.2527615, 0.14670122, 0.08850929, 0.05547117, -0.16957706, -0.43767262, 2051, 
