Cluster Number, Weight Method, Reference Weight (factor 2), File Weight, Function Weight, Distance Function, Closest Centroids Init, Precision, Recall, Fmeasure, AdjustedPrecision, AverageClusterPrecision, AverageClusterRecall, AverageClusterAdjustedPrecision, MojoFM, SilhuetteIndex, NonExtremityClusterDistributionL5U100, IntraSimilarityReg1.0, IntraSimilarityReg2.0, IntraSimilarityReg3.0, IntraSimilarityReg4.0, IntraSimilarityReg5.0, IntraInterDistanceIntra1.0Inter1.0, AverageClusterIntraInterDistanceIntra1.0Inter1.0, Time Taken(ms), 
31, LogWeight EntropyWeight, 0.0, 1, 0, CosineDistance, 1, 0.2608494, 0.3309289, 0.29173967, 0.5377043, 0.354352, 0.3809564, 0.474896, 47.326202, -0.016920233, 0.9137056, 0.4918761, 0.37604132, 0.28829888, 0.22167346, 0.17095573, -0.11857043, -0.2783732, 1306, 
31, LogWeight EntropyWeight, 0.0, 1, 0, ModifiedCosineDistance, 1, 0.34691408, 0.37980273, 0.36261418, 0.63733846, 0.3234567, 0.371385, 0.45301646, 48.39572, -0.017210482, 0.9187817, 0.5008163, 0.4105093, 0.3375541, 0.2784593, 0.2304644, -0.15141469, -0.32007158, 7685, 
31, LogWeight EntropyWeight, 0.0, 1, 0, DotDistance, 1, 0.08795503, 0.9973502, 0.16165401, 0.29705393, 0.0032575936, 0.8675722, 0.011001998, 17.914438, 0.0015504137, 0.0, 0.033572786, 0.03043256, 0.027586056, 0.025005797, 0.022666885, 0.063749336, 0.0010849955, 83194, 
31, LogWeight EntropyWeight, 0.0, 1, 0, EllenbergDistance, 1, 0.080911085, 0.3749448, 0.13309991, 0.29535615, 0.122379355, 0.46023086, 0.14816809, 19.251335, -0.094850354, 0.38071066, 0.05728916, 0.014528405, 0.003682573, 9.330293E-4, 2.362547E-4, 1.6235626E-6, 1.6263056E-7, 25657, 
31, LogWeight EntropyWeight, 0.0, 1, 0, UnbiasedEllenbergDistance, 1, 0.087741055, 1.0, 0.16132711, 0.29577824, 0.0028303566, 0.87096775, 0.009541234, 17.647058, NaN, 0.0, 0.02099065, 0.014415253, 0.010497424, 0.008138128, 0.006757227, NaN, 0.008726051, 4465, 
31, LogWeight EntropyWeight, 0.0, 1, 1, CosineDistance, 1, 0.34388596, 0.33740616, 0.34061524, 0.6147954, 0.33913377, 0.26707613, 0.4664749, 43.315506, -0.011782819, 0.92385787, 0.5091216, 0.38363427, 0.2898585, 0.21961929, 0.1668842, -0.13581061, -0.27857003, 1782, 
31, LogWeight EntropyWeight, 0.0, 1, 1, ModifiedCosineDistance, 1, 0.34072328, 0.31900486, 0.32950658, 0.62302, 0.38157365, 0.2576141, 0.5066362, 45.454544, -0.016219493, 0.94162434, 0.57187015, 0.4500401, 0.3592079, 0.2895848, 0.23520389, -0.16072746, -0.18481219, 55742, 
31, LogWeight EntropyWeight, 0.0, 1, 1, DotDistance, 1, 0.08795503, 0.9973502, 0.16165401, 0.29705393, 0.0029318342, 0.8675722, 0.009901797, 17.914438, 0.0015973789, 0.0, 0.03004789, 0.02708627, 0.024416558, 0.022009982, 0.019840604, 0.07207908, 0.0013464345, 83158, 
31, LogWeight EntropyWeight, 0.0, 1, 1, EllenbergDistance, 1, 0.08457547, 0.3767113, 0.13813764, 0.29254487, 0.10647193, 0.44760606, 0.1293352, 18.71658, -0.14795189, 0.1573604, 0.049209822, 0.012510072, 0.00317981, 8.081324E-4, 2.0537435E-4, -4.4122785E-7, -0.08834963, 196429, 
31, LogWeight EntropyWeight, 0.0, 1, 1, UnbiasedEllenbergDistance, 1, 0.087741055, 1.0, 0.16132711, 0.29577824, 0.0028303566, 0.87096775, 0.009541234, 17.647058, NaN, 0.0, 0.031951446, 0.035435766, 0.044606075, 0.064753, 0.11042065, NaN, -0.011140759, 4452, 
