Cluster Number, Weight Method, Reference Weight (factor 2), File Weight, Function Weight, Distance Function, Topics Number, Closest Centroids Init, Precision, Recall, Fmeasure, AdjustedPrecision, AverageClusterPrecision, AverageClusterRecall, AverageClusterAdjustedPrecision, MojoFM, SilhuetteIndex, NonExtremityClusterDistributionL5U100, IntraSimilarityReg1.0, IntraSimilarityReg2.0, IntraSimilarityReg3.0, IntraSimilarityReg4.0, IntraSimilarityReg5.0, IntraInterDistanceIntra1.0Inter1.0, AverageClusterIntraInterDistanceIntra1.0Inter1.0, Time Taken(ms), 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 40, 1, 0.4376417, 0.4457275, 0.4416476, 0.52910054, 0.43554422, 0.6916214, 0.5300454, 55.29412, 0.0022072587, 0.8020833, 0.4458937, 0.2342167, 0.12425438, 0.06658346, 0.036040317, -0.3283038, -0.38310444, 63, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 40, 2, 0.3987854, 0.45496535, 0.42502695, 0.5134955, 0.5146559, 0.68690914, 0.61594963, 51.7647, -0.0013046527, 0.6979167, 0.47196153, 0.24140194, 0.12424643, 0.0643399, 0.03351621, -0.30104357, -0.3151902, 50, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 45, 1, 0.4248497, 0.4896074, 0.45493564, 0.50334, 0.5121855, 0.64901775, 0.6007767, 56.470585, -0.001027312, 0.8333333, 0.5050778, 0.2874288, 0.1734848, 0.11241443, 0.07864622, -0.3222709, -0.3669063, 56, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 45, 2, 0.40882918, 0.49191687, 0.4465409, 0.5073577, 0.55165106, 0.7027156, 0.65293425, 54.117645, -0.0010739827, 0.75, 0.5152739, 0.30135068, 0.18725027, 0.124276675, 0.08812309, -0.30459887, -0.38190392, 70, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 1, CosineDistance, 5, 1, 0.4041451, 0.36027715, 0.3809524, 0.5405874, 0.48683265, 0.4066145, 0.55352336, 52.941177, -0.048290655, 0.78125, 0.485081, 0.26215893, 0.14681299, 0.08527869, 0.051388185, -0.17587705, -0.30407995, 8, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 1, CosineDistance, 5, 2, 0.35361215, 0.4295612, 0.38790405, 0.51774377, 0.40027806, 0.5612424, 0.52874833, 44.70588, -0.042811602, 0.84375, 0.47588155, 0.27777013, 0.1701806, 0.10903932, 0.07271446, -0.15620956, -0.39591068, 13, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 1, CosineDistance, 10, 1, 0.5689655, 0.45727482, 0.5070422, 0.6695402, 0.500576, 0.53490824, 0.58505386, 61.176468, -0.016147936, 0.8645833, 0.4922349, 0.2671274, 0.14809589, 0.083673306, 0.04805572, -0.3062102, -0.33861896, 16, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 1, CosineDistance, 10, 2, 0.44878048, 0.42494226, 0.4365362, 0.54268295, 0.6753318, 0.5766573, 0.72963923, 60.000004, -0.015736058, 0.7604167, 0.5542906, 0.34995022, 0.23456515, 0.16692896, 0.12562592, -0.26700142, -0.43646094, 16, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 1, CosineDistance, 15, 1, 0.5985748, 0.5819861, 0.59016395, 0.70031667, 0.59283024, 0.67103153, 0.6750749, 67.05882, -0.003524686, 0.8541667, 0.4818513, 0.2847539, 0.17931278, 0.121621095, 0.089139946, -0.31601456, -0.43774256, 29, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 1, CosineDistance, 15, 2, 0.4781818, 0.6073903, 0.5350966, 0.5418182, 0.53257066, 0.82693917, 0.60455567, 63.529408, -7.986754E-4, 0.9166667, 0.40599626, 0.24585733, 0.1608049, 0.11441309, 0.08826728, -0.26284134, -0.5265746, 24, 
