Cluster Number, Weight Method, Reference Weight (factor 2), File Weight, Function Weight, Distance Function, Closest Centroids Init, Precision, Recall, Fmeasure, AdjustedPrecision, AverageClusterPrecision, AverageClusterRecall, AverageClusterAdjustedPrecision, MojoFM, SilhuetteIndex, NonExtremityClusterDistributionL5U100, IntraSimilarityReg1.0, IntraSimilarityReg2.0, IntraSimilarityReg3.0, IntraSimilarityReg4.0, IntraSimilarityReg5.0, IntraInterDistanceIntra1.0Inter1.0, AverageClusterIntraInterDistanceIntra1.0Inter1.0, Time Taken(ms), 
72, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.5733138, 0.17267776, 0.26541463, 0.76586944, 0.41886008, 0.27066138, 0.56294644, 56.95187, -0.012418756, 0.7233502, 0.5027764, 0.33358252, 0.22313578, 0.15048893, 0.102333464, -0.34004977, -0.44311646, 1595, 
73, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.57359415, 0.17267776, 0.26544467, 0.7658528, 0.41312227, 0.27066138, 0.54427594, 56.95187, -0.012418756, 0.7233502, 0.48817348, 0.3246672, 0.21763143, 0.14704879, 0.10015513, -0.34013307, -0.4550302, 1617, 
74, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.57682747, 0.17076403, 0.2635166, 0.7644803, 0.41911483, 0.26884598, 0.54982054, 57.48663, -0.010095345, 0.69796956, 0.4925865, 0.32879987, 0.22107188, 0.1497362, 0.10217221, -0.34480724, -0.45636445, 1640, 
75, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.57860374, 0.16958635, 0.2622951, 0.7642574, 0.4261731, 0.26851514, 0.55524737, 57.219254, -0.010263395, 0.6928934, 0.495881, 0.33167943, 0.2234581, 0.15164869, 0.10367089, -0.34669018, -0.4562626, 1660, 
76, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.5526454, 0.15530694, 0.24247299, 0.75168884, 0.42735854, 0.23540977, 0.55744255, 56.684494, -0.010355348, 0.6954315, 0.49984244, 0.33579963, 0.2274591, 0.15537578, 0.107047856, -0.3485138, -0.4566695, 1682, 
77, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.5522228, 0.15177388, 0.23810624, 0.75088805, 0.43217424, 0.23320408, 0.56657654, 56.417114, -0.0109416675, 0.70050764, 0.50333554, 0.3391508, 0.23048067, 0.15799685, 0.10926274, -0.3505872, -0.45703563, 1705, 
78, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.53053224, 0.13940822, 0.22079737, 0.73608434, 0.44277063, 0.2323326, 0.57592803, 56.149734, -0.0103295455, 0.70304567, 0.5076011, 0.3435742, 0.2345996, 0.16161753, 0.11233587, -0.3519985, -0.4580457, 1725, 
79, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.5276524, 0.13764168, 0.21833041, 0.73471284, 0.42425266, 0.23133947, 0.55572456, 55.61497, -0.010399981, 0.70050764, 0.5017974, 0.3399526, 0.2322664, 0.16006479, 0.11127026, -0.35237965, -0.46271864, 1747, 
80, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.52958405, 0.13307817, 0.2127059, 0.74043083, 0.42835608, 0.22529955, 0.5623195, 55.08021, -0.010840108, 0.66243654, 0.50403154, 0.34150356, 0.23332722, 0.16078004, 0.11174522, -0.3561964, -0.46123883, 1776, 
81, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.52965355, 0.13278374, 0.21233521, 0.74013436, 0.42142168, 0.22523136, 0.5549932, 54.812836, -0.010874937, 0.66243654, 0.49872282, 0.33861765, 0.23190004, 0.16020785, 0.11165416, -0.3565156, -0.46633667, 1791, 
